circuit_id,n_qubits,gate_count,observable_size,is_projector,is_stabilizer,epsilon,delta,bernstein,n_threads,xi,h_old,h_new,result,requested_shots,variance_shots,variance_hat,std_hat,sigma_max,variance_bound,observable_norm,observable_norm_is_exact,cpu_time_ns,wall_time_ns
76,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,4.171717261070e+05,20036203119650,26078913,5.317290511116e-18,0,21913119,4.247939961352e-39,2.718967718380e-14,3.824860634707e+02,1.462955887493e+05,1.000000000000e+00,1,4225445207000,211569033567
77,64,128,1,1,1,2.000000000000e-01,2.000000000000e-01,1,24,1.000000000000e+00,1,0,1.000000000000e+00,0,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1,378000,405260
78,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,6.151064250129e+05,43559834381736,38452522,5.492145311253e-20,0,32310196,6.448320708195e-40,1.561973199485e-14,4.644439518398e+02,2.157081844005e+05,1.000000000000e+00,1,6245242176000,273949042709
79,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,9.834359757283e+05,111346834769611,61478124,1.710470644455e-18,0,51657743,3.937964401741e-41,6.171375675620e-15,5.872610805233e+02,3.448755766974e+05,1.000000000000e+00,1,10056996780000,435079876887
80,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,1.002330135385e+06,115666413247675,62659266,-1.062370799221e-19,0,52650212,5.144022880596e-43,7.188896542373e-16,5.928755869422e+02,3.515014615920e+05,1.000000000000e+00,1,10140016385999,439416352419
81,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,3.082138407771e+05,10936792384543,19267565,3.941208433076e-19,0,16189799,1.031834056451e-40,3.130812552737e-15,3.287640033680e+02,1.080857699106e+05,1.000000000000e+00,1,3108577750000,140711453850
82,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,1.011831607307e+06,117869699501989,63253238,-1.453364460316e-19,0,53149303,1.472273482188e-41,3.882419741109e-15,5.956790096060e+02,3.548334824852e+05,1.000000000000e+00,1,10424186604000,450444405089
83,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,4.739989059150e+05,25866661006603,29631384,-8.141594502936e-19,0,24898127,9.274432549719e-40,1.443514041559e-14,4.077057597563e+02,1.662239865384e+05,1.000000000000e+00,1,4784649536999,211247323880
84,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,3.126557711499e+05,11254302703200,19545246,0.000000000000e+00,0,16423124,0.000000000000e+00,0.000000000000e+00,3.311245755385e+02,1.096434845256e+05,1.000000000000e+00,1,3132608710000,141930176673
85,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,2.160293631872e+05,5372931006923,13504782,8.374158209640e-20,0,11347550,4.491668873744e-42,4.578430770500e-16,2.752419271053e+02,7.575811843666e+04,1.000000000000e+00,1,2164624255000,100012486085
86,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,2.049228258827e+05,4834664762917,12810473,0.000000000000e+00,0,10764148,0.000000000000e+00,0.000000000000e+00,2.680731786527e+02,7.186322911298e+04,1.000000000000e+00,1,2013923898000,93660882159
87,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,6.151064250129e+05,43559834381736,38452522,-9.385316745007e-18,0,32310196,1.293091538959e-38,6.994632450870e-14,4.644439518398e+02,2.157081844005e+05,1.000000000000e+00,1,6252999688000,274176790827
88,64,128,1,1,1,2.000000000000e-01,2.000000000000e-01,1,24,1.000000000000e+00,1,0,1.000000000000e+00,0,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1,510000,529033
89,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,2.167665247006e+06,540966189863278,135508548,0.000000000000e+00,0,113862719,0.000000000000e+00,0.000000000000e+00,8.718751093328e+02,7.601662062742e+05,1.000000000000e+00,1,22146423088000,943472915339
90,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,3.189579659406e+05,11712580780569,19939219,-8.134415092491e-19,0,16754165,2.471474701116e-40,5.014314131424e-15,3.344451557259e+02,1.118535621885e+05,1.000000000000e+00,1,3169979204000,143307484362
91,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,1.383915143521e+06,220497980549065,86513515,2.152456193920e-19,0,72694039,2.489600410103e-42,2.183606030608e-15,6.966472107968e+02,4.853173363110e+05,1.000000000000e+00,1,14243461096000,611549118968
92,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,2.406899695812e+06,666962900416481,150463952,1.664458157128e-17,0,126429182,3.428911733672e-39,1.409406093789e-13,9.187284549019e+02,8.440619738463e+05,1.000000000000e+00,1,24867223669000,1061279709511
93,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,2.750425242766e+06,870934277462010,171938966,6.546737905553e-36,0,144473829,1.030967410438e-75,8.831252737154e-32,9.821053865571e+02,9.645309903045e+05,1.000000000000e+00,1,28218729157000,1199250514968
94,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,9.827500389987e+05,111191562338013,61435244,1.605289680471e-18,0,51621712,1.121296050699e-40,1.040646471457e-14,5.870562418239e+02,3.446350310644e+05,1.000000000000e+00,1,9999533592000,433186031814
95,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,8.010837840640e+05,73882498607616,50078634,5.724012462169e-19,0,42079181,1.430287096554e-42,9.580530348431e-16,5.300259637846e+02,2.809275222858e+05,1.000000000000e+00,1,8175323118000,354348924406
96,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,6.459684532780e+05,48040587667811,40381818,1.562679181306e-18,0,33931311,1.643369717202e-40,8.280926865255e-15,4.759527424061e+02,2.265310130039e+05,1.000000000000e+00,1,6510935168999,284978441744
97,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,9.834359757283e+05,111346834769611,61478124,6.598333347292e-19,0,51657743,1.983545641924e-41,4.379930210494e-15,5.872610805233e+02,3.448755766974e+05,1.000000000000e+00,1,10046101189000,435953980917
98,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,2.167665247006e+06,540966189863278,135508548,0.000000000000e+00,0,113862719,0.000000000000e+00,0.000000000000e+00,8.718751093328e+02,7.601662062742e+05,1.000000000000e+00,1,22073983429000,945228417491
99,64,128,1,1,1,2.000000000000e-01,2.000000000000e-01,1,24,1.000000000000e+00,1,0,1.000000000000e+00,0,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1,510000,512645
